vehicle_id,user_id,make,model,year,color,license_plate,total_seats
149,617,Mercedes-Benz,GLE,2015,Orange,MMY-5870,5
150,458,Ford,Explorer,2023,White,CIH-4714,7
151,768,Toyota,RAV4,2017,Red,LQU-0645,5
152,393,Subaru,Forester,2010,Gold,DPU-0073,5
153,666,Kia,Optima,2007,Gray,RYJ-7553,5
154,220,Chevrolet,Tahoe,2012,Gold,AEN-9177,8
155,830,Nissan,Sentra,2014,Blue,ZFD-0179,5
156,179,Subaru,Forester,2015,Red,SOH-2177,5
157,565,Mercedes-Benz,E-Class,2022,White,ZUG-4354,5
158,325,Honda,Pilot,2008,Black,KSM-4451,8
159,444,Nissan,Pathfinder,2007,Silver,RIW-7619,7
160,291,Hyundai,Elantra,2007,Green,NHE-9295,5
161,595,Honda,Civic,2011,Black,YHQ-6065,5
162,657,Honda,Odyssey,2010,Red,SPV-5800,8
163,310,Audi,Q5,2018,White,FOQ-0856,5
164,622,Volkswagen,Passat,2012,Navy,RHB-0442,5
165,248,Honda,Odyssey,2015,Brown,IZI-3751,8
166,164,Volkswagen,Jetta,2008,White,GCH-3628,5
167,469,BMW,5 Series,2016,Black,EZM-8403,5
168,111,Chevrolet,Silverado,2010,Gray,BHP-8620,6
169,76,Tesla,Model X,2017,Brown,STJ-4515,7
170,348,Mercedes-Benz,GLE,2018,Silver,OVQ-6103,5
171,468,Kia,Sorento,2019,Blue,FNN-0134,7
172,522,Honda,Odyssey,2021,Black,YIK-6855,8
173,743,Hyundai,Tucson,2021,Blue,HVJ-6957,5
174,537,Jeep,Wrangler,2005,Gray,GRZ-5204,5
175,708,Nissan,Rogue,2020,Black,RAY-1031,5
176,679,Ford,Escape,2018,Silver,PMW-7755,5
177,823,Volkswagen,Passat,2021,White,YLN-5686,5
178,213,Jeep,Wrangler,2013,Gray,EGO-2922,5
179,405,Jeep,Wrangler,2020,White,JYU-2163,5
180,552,Mercedes-Benz,C-Class,2010,White,HSJ-4242,5
181,54,Chevrolet,Tahoe,2022,Blue,DQP-2656,8
182,902,Honda,Accord,2016,White,MRD-9916,5
183,757,Volkswagen,Passat,2020,Red,THH-0762,5
184,960,Dodge,Charger,2007,Beige,EWE-9934,5
185,506,Dodge,Durango,2017,Brown,AOC-9295,7
186,810,Honda,Pilot,2022,Silver,FCE-4217,8
187,98,Chevrolet,Malibu,2023,Red,FPQ-4434,5
188,587,Ford,Explorer,2010,Silver,YAJ-4235,7
189,721,Toyota,Camry,2013,Red,SBD-3458,5
190,621,Audi,Q5,2013,Red,QYJ-2944,5
191,807,Mercedes-Benz,E-Class,2019,Blue,XTU-8765,5
192,154,Honda,Civic,2019,Silver,SCO-0555,5
193,136,Ford,F-150,2014,Green,LRS-4840,6
194,593,Hyundai,Elantra,2019,Silver,BMU-7387,5
195,185,Toyota,Sienna,2005,Silver,SOB-8942,8
196,385,Audi,Q5,2011,Navy,ZQK-9389,5
197,775,Honda,Civic,2020,Black,WDZ-3198,5
198,897,Toyota,Corolla,2012,Silver,SLJ-2411,5
199,458,Dodge,Charger,2009,Black,RPY-8205,5
200,240,Nissan,Altima,2006,White,BLO-7719,5
201,282,Dodge,Charger,2016,Gray,UVG-8954,5
202,427,Toyota,Highlander,2013,Red,LMZ-9673,7
203,60,Tesla,Model S,2014,White,ENG-2814,5
204,95,Kia,Sorento,2021,Gold,ODG-2698,7
205,223,Hyundai,Tucson,2012,Black,JPB-0856,5
206,491,Volkswagen,Passat,2011,Brown,IYA-9919,5
207,369,Chevrolet,Silverado,2023,Blue,KGI-2463,6
208,885,Hyundai,Elantra,2021,Silver,UST-3230,5
209,854,Ford,Transit,2021,Black,GYP-4133,8
210,751,Chevrolet,Silverado,2019,Gray,YIT-4774,6
211,77,Mercedes-Benz,C-Class,2011,Black,OEX-9958,5
212,633,Subaru,Outback,2006,Blue,KVG-7053,5
213,515,Nissan,Rogue,2023,Red,ANK-0752,5
214,274,Jeep,Wrangler,2018,Navy,XCC-1158,5
215,879,Tesla,Model 3,2017,White,KOZ-2686,5
216,804,Nissan,Pathfinder,2006,Black,JOB-0144,7
217,701,BMW,X5,2010,Brown,XFX-6529,5
218,408,Chevrolet,Tahoe,2022,Gray,AYI-9577,8
219,706,Toyota,Sienna,2013,Black,GVK-8371,8
220,407,Dodge,Charger,2008,Silver,ZBL-8379,5
221,677,Audi,Q5,2014,Black,HZM-3946,5
222,399,Mercedes-Benz,GLE,2011,Navy,HGB-2371,5
223,569,BMW,5 Series,2017,Black,AIJ-2114,5
224,798,Hyundai,Elantra,2019,Black,COP-7804,5
225,65,Honda,Civic,2020,Beige,ZOE-3134,5
226,469,Ford,F-150,2017,White,HUJ-9746,6
227,881,Honda,Accord,2007,White,YIQ-8338,5
228,649,Nissan,Pathfinder,2009,White,PSM-1337,7
229,185,Volkswagen,Tiguan,2018,Navy,IHU-3919,5
230,815,Subaru,Forester,2022,Black,SYF-7808,5
231,491,Tesla,Model S,2022,Silver,QGR-7709,5
232,609,Kia,Sportage,2018,Gray,YWK-0978,5
233,991,Nissan,Rogue,2010,Black,GRE-6566,5
234,457,Audi,A4,2016,Gold,LAG-5555,5
235,88,Mercedes-Benz,E-Class,2018,Silver,RRD-9429,5
236,69,Honda,CR-V,2009,White,IUN-3074,5
237,179,BMW,3 Series,2007,Navy,CWQ-6192,5
238,756,Kia,Sorento,2013,White,LMU-6163,7
239,819,Nissan,Sentra,2011,Silver,LAF-2775,5
240,402,Hyundai,Tucson,2011,White,FCR-4933,5
241,138,Kia,Sportage,2009,White,VQV-7260,5
242,499,BMW,5 Series,2009,White,DJD-3554,5
243,140,Nissan,Rogue,2013,Gray,MDI-4030,5
244,32,Ford,Mustang,2017,Gold,NMR-4840,4
245,116,Audi,A4,2013,White,HNE-4775,5
246,436,Kia,Optima,2009,White,OZO-7742,5
247,795,Honda,Accord,2023,Blue,HZL-3849,5
248,212,Chevrolet,Silverado,2010,Navy,PJS-6112,6
249,922,Toyota,Highlander,2019,Gray,PEZ-2595,7
250,150,Subaru,Forester,2008,Black,TKB-2671,5
251,649,Jeep,Grand Cherokee,2015,Green,TRM-5244,5
252,868,Audi,Q5,2010,Silver,TSW-4458,5
253,217,Dodge,Charger,2008,Blue,LRJ-0524,5
254,48,Volkswagen,Tiguan,2013,White,HOD-8787,5
255,706,Honda,Accord,2023,Navy,LDW-4092,5
256,406,Honda,Pilot,2015,Black,YHR-2391,8
257,532,Nissan,Rogue,2017,Blue,TLC-0205,5
258,749,Subaru,Forester,2019,Black,SVZ-4103,5
259,544,Honda,Accord,2006,White,WDU-7191,5
260,223,Kia,Optima,2006,Gray,EJF-7964,5
261,255,Honda,Civic,2006,Black,DSJ-4726,5
262,303,Kia,Sorento,2017,Navy,RWR-3557,7
263,13,Nissan,Pathfinder,2006,Navy,UGK-2608,7
264,18,Mercedes-Benz,E-Class,2016,Black,WOJ-6797,5
265,434,Kia,Sportage,2008,Black,FXY-3277,5
266,550,Jeep,Wrangler,2017,Black,NQH-3528,5
267,251,BMW,5 Series,2018,Gray,TQQ-3492,5
268,12,Honda,Civic,2016,Black,PBR-6101,5
269,908,Ford,F-150,2019,Gold,NUS-1172,6
270,57,Honda,CR-V,2005,White,LNG-9645,5
271,46,Volkswagen,Tiguan,2022,Gray,JGC-5725,5
272,672,Toyota,Camry,2012,Black,JXE-9087,5
273,184,Tesla,Model S,2015,White,KSH-0359,5
274,468,Ford,Transit,2022,Gray,BKW-8730,8
275,201,Toyota,Camry,2016,Black,OHQ-4547,5
276,974,Dodge,Charger,2023,Blue,GAK-2388,5
277,996,BMW,X5,2007,Blue,JTH-2949,5
278,98,Honda,Odyssey,2013,Black,XXN-7390,8
279,949,Hyundai,Elantra,2010,Red,KPB-6128,5
280,109,Tesla,Model 3,2022,Green,ILG-9171,5
281,162,Ford,F-150,2018,Silver,KNZ-2321,6
282,526,Subaru,Forester,2014,Green,SBV-3023,5
283,824,Toyota,Highlander,2017,White,ZAK-4724,7
284,597,Honda,Pilot,2009,Black,VZD-8366,8
285,829,Kia,Sportage,2014,Beige,BZF-6808,5
286,177,BMW,X5,2010,Black,LEO-8306,5
287,904,Mercedes-Benz,C-Class,2012,Beige,HLD-6664,5
288,814,Kia,Sorento,2023,Black,HDF-8568,7
289,327,Toyota,Corolla,2015,Navy,JOM-9531,5
290,164,Nissan,Altima,2012,Black,VHV-4352,5
291,817,Honda,Accord,2010,Red,GVX-0928,5
292,721,Mercedes-Benz,GLE,2015,Beige,ZEG-3735,5
293,503,Jeep,Wrangler,2016,Gold,OOE-9843,5
294,182,Toyota,RAV4,2008,Black,PAM-3683,5
295,965,BMW,5 Series,2007,Black,PXU-8893,5
296,325,Subaru,Outback,2017,Gray,IIZ-7464,5
297,131,Ford,Explorer,2023,Red,YUF-5136,7
298,991,Ford,Explorer,2006,Gold,YKZ-9069,7
299,987,Nissan,Sentra,2012,Red,CMI-0336,5
300,50,Honda,Civic,2023,Blue,IAF-6377,5
301,885,Mercedes-Benz,GLE,2017,Blue,ZWM-3514,5
302,385,Kia,Optima,2013,Black,BVH-3901,5
303,169,Ford,F-150,2006,Gray,XCP-6409,6
304,289,Nissan,Altima,2018,Black,CFE-6772,5
305,641,BMW,3 Series,2013,Black,KOM-0008,5
306,501,Nissan,Altima,2020,Black,AEH-0833,5
307,232,Subaru,Outback,2013,Black,OEX-3424,5
308,567,Chevrolet,Tahoe,2023,Black,TRC-3595,8
309,925,Toyota,Highlander,2020,Green,KNW-4840,7
310,172,Jeep,Grand Cherokee,2006,Silver,XUR-6171,5
311,933,Ford,Escape,2011,Black,LZL-9682,5
312,602,Dodge,Charger,2008,Black,OOW-5907,5
313,805,Hyundai,Sonata,2019,Black,DOP-9117,5
314,634,Chevrolet,Malibu,2022,Brown,WGR-5414,5
315,838,Nissan,Altima,2017,Black,XIG-7980,5
316,846,BMW,3 Series,2015,White,MSC-8194,5
317,383,BMW,5 Series,2014,Blue,PCL-9445,5
318,206,Toyota,Highlander,2013,Black,SKU-5518,7
319,698,Toyota,Highlander,2015,Black,BJF-3439,7
320,767,Toyota,Corolla,2010,White,PEW-5318,5
321,276,Jeep,Wrangler,2007,White,KEO-9866,5
322,230,Nissan,Pathfinder,2018,Gray,WZR-4118,7
323,534,Chevrolet,Equinox,2017,Blue,SHX-8423,5
324,701,Nissan,Sentra,2017,Gray,AZZ-8552,5
325,154,Honda,Accord,2018,Black,ZQW-2782,5
326,303,Hyundai,Sonata,2013,Beige,UUP-6676,5
327,654,Chevrolet,Equinox,2021,Silver,TPZ-8376,5
328,828,Volkswagen,Passat,2016,Silver,VVW-1012,5
329,381,Kia,Sorento,2013,Gold,XRF-2848,7
330,123,Chevrolet,Equinox,2017,Silver,DBQ-5641,5
331,469,Subaru,Forester,2017,Gray,KWD-9398,5
332,215,Honda,Odyssey,2015,Brown,ECI-9304,8
333,489,Audi,A4,2011,Gray,EUU-1444,5
334,642,Mercedes-Benz,GLE,2010,Black,FJA-3816,5
335,972,Dodge,Charger,2013,White,WIC-5300,5
336,193,Chevrolet,Malibu,2019,Blue,PIX-9393,5
337,812,Ford,F-150,2016,Black,FZF-0517,6
338,707,Toyota,RAV4,2018,Brown,GNB-9660,5
339,104,Honda,CR-V,2018,Silver,DGS-2604,5
340,109,Subaru,Outback,2021,White,PDV-1711,5
341,933,Volkswagen,Tiguan,2012,Gray,UVZ-3415,5
342,524,Ford,Escape,2020,White,ARX-8610,5
343,873,Toyota,Sienna,2007,Beige,QLZ-2088,8
344,175,Chevrolet,Malibu,2016,Navy,ITC-7086,5
345,468,BMW,X5,2018,Brown,YGT-3314,5
346,865,Chevrolet,Tahoe,2017,Red,MKX-1179,8
347,701,Ford,F-150,2007,Silver,PUR-1330,6
348,538,Dodge,Charger,2010,Silver,MXL-0608,5
349,678,Audi,Q5,2020,Gray,OZR-3570,5
350,957,Dodge,Charger,2013,Silver,RQD-8860,5
351,229,Ford,F-150,2020,Green,WWB-4290,6
352,510,Kia,Sorento,2020,Silver,GLU-4841,7
353,521,Dodge,Durango,2008,Black,KOA-0663,7
354,615,Kia,Sorento,2014,Red,LIV-8837,7
355,535,Volkswagen,Passat,2016,Blue,CTF-3892,5
356,953,Mercedes-Benz,E-Class,2009,Black,EDS-7161,5
357,791,Tesla,Model 3,2018,Silver,USC-4985,5
358,495,Tesla,Model Y,2023,Red,YDM-5098,5
359,429,Hyundai,Elantra,2011,Red,EVC-6638,5
360,307,Nissan,Altima,2012,White,ZZL-1477,5
361,689,Jeep,Wrangler,2022,Brown,SYQ-2623,5
362,428,Honda,Pilot,2011,Silver,SID-3456,8
363,769,Subaru,Forester,2022,White,WVN-0161,5
364,631,Ford,F-150,2013,Red,DBU-2534,6
365,949,Subaru,Forester,2022,Brown,TOG-7726,5
366,882,Mercedes-Benz,GLE,2016,Silver,URZ-0728,5
367,302,Tesla,Model Y,2021,Beige,SQT-5679,5
368,165,Tesla,Model Y,2021,Orange,BZT-1022,5
369,864,Kia,Sportage,2014,Black,MYB-9576,5
370,518,Subaru,Outback,2014,Silver,OJU-3210,5
371,634,Ford,F-150,2017,Gray,KJW-6329,6
372,637,Hyundai,Sonata,2021,Yellow,VZA-6496,5
373,842,Chevrolet,Silverado,2005,Red,IXY-3529,6
374,995,Audi,Q5,2014,Gray,NMH-6300,5
375,849,Audi,Q5,2017,Gray,QFQ-2682,5
376,814,Jeep,Wrangler,2018,Red,YTD-4300,5
377,548,Chevrolet,Equinox,2010,Gray,FGK-6406,5
378,89,Toyota,Camry,2007,Blue,PSB-9173,5
379,303,Chevrolet,Malibu,2019,White,VAE-2778,5
380,145,Nissan,Rogue,2012,White,XZW-6908,5
381,423,Honda,CR-V,2006,Black,PNY-3793,5
382,770,Nissan,Pathfinder,2021,Black,EQG-1650,7
383,688,Kia,Sorento,2022,Red,BRG-1593,7
384,580,Nissan,Pathfinder,2012,Black,QXI-4635,7
385,369,Kia,Optima,2017,Navy,YEI-7762,5
386,880,Honda,Pilot,2016,Brown,MJH-5168,8
387,593,Honda,Pilot,2023,Black,TQS-8868,8
388,229,Tesla,Model 3,2023,Gray,XOO-9473,5
389,826,Audi,Q5,2018,Blue,HMN-3568,5
390,962,Nissan,Sentra,2010,Blue,DEO-5817,5
391,481,Mercedes-Benz,C-Class,2007,White,MBJ-0293,5
392,584,Volkswagen,Jetta,2006,Black,QCZ-6275,5
393,362,Ford,Explorer,2018,Red,JQV-5395,7
394,154,Mercedes-Benz,C-Class,2021,Navy,XAW-4252,5
395,216,Ford,Explorer,2011,White,SDF-8744,7
396,151,Kia,Sportage,2011,Red,KGD-5158,5
397,291,Toyota,Highlander,2013,White,EYP-5076,7
398,187,Honda,Civic,2009,Silver,ZWE-8678,5
399,208,Nissan,Sentra,2021,White,SIL-5231,5
400,771,Hyundai,Sonata,2022,Red,VPE-9585,5
401,380,Honda,CR-V,2007,Silver,DPV-8765,5
402,590,Toyota,RAV4,2022,Silver,YMT-3898,5
403,727,Honda,Accord,2016,Black,MGW-2841,5
404,668,Dodge,Durango,2008,Gray,DAR-6331,7
405,571,Kia,Sportage,2014,White,NOP-9325,5
406,676,Volkswagen,Passat,2010,White,OGH-3778,5
407,724,Honda,CR-V,2012,Silver,SEF-4356,5
408,380,Toyota,Highlander,2013,Silver,QUV-4602,7
409,840,Honda,Civic,2022,Black,JZP-5759,5
410,238,Ford,Explorer,2021,Silver,FRU-2055,7
411,416,Nissan,Sentra,2010,Red,JRZ-0236,5
412,987,Kia,Sportage,2012,Gray,TBC-2893,5
413,302,Chevrolet,Tahoe,2012,Gray,FYO-2410,8
414,789,BMW,X5,2010,Navy,YWV-5695,5
415,226,Chevrolet,Silverado,2014,Gold,LLP-0106,6
416,767,Subaru,Forester,2012,Navy,KJN-7223,5
417,195,BMW,X5,2009,Gray,EIF-5179,5
418,110,Volkswagen,Tiguan,2020,Black,TWF-2261,5
419,505,Honda,CR-V,2007,Red,RPT-5046,5
420,490,Kia,Optima,2014,Silver,ZXH-2507,5
421,13,Hyundai,Tucson,2007,Silver,KRE-9646,5
422,352,Subaru,Forester,2011,White,CJW-1229,5
423,590,Mercedes-Benz,E-Class,2011,Silver,FSJ-8211,5
424,485,Subaru,Forester,2012,Navy,SUO-8187,5
425,880,Toyota,Camry,2010,Silver,DXQ-5342,5
426,370,Kia,Optima,2007,Silver,RBV-4643,5
427,666,Mercedes-Benz,E-Class,2023,Gray,VIK-3665,5
428,294,Nissan,Pathfinder,2022,Black,UJR-4783,7
429,352,Volkswagen,Jetta,2009,Brown,QYK-6490,5
430,602,Ford,Transit,2015,White,HGQ-2483,8
431,171,Hyundai,Sonata,2020,Silver,EAS-6970,5
432,633,Tesla,Model 3,2017,Black,YMB-7591,5
433,30,Honda,Odyssey,2007,Red,XIG-2618,8
434,715,Toyota,RAV4,2017,Brown,IMZ-5249,5
435,494,Hyundai,Tucson,2011,Gray,LTW-4659,5
436,353,Hyundai,Tucson,2013,Navy,LJG-3088,5
437,816,Chevrolet,Malibu,2020,Gray,RMT-2775,5
438,270,Toyota,Camry,2022,White,KOK-1733,5
439,276,Honda,Civic,2016,Red,NUP-6265,5
440,20,Tesla,Model S,2015,Green,EHQ-6261,5
441,16,Honda,Odyssey,2006,Orange,AZH-1400,8
442,975,Volkswagen,Tiguan,2012,White,IUZ-4738,5
443,998,Honda,Odyssey,2006,White,KOE-8230,8
444,214,Audi,Q5,2020,White,ULT-0475,5
445,654,Volkswagen,Passat,2017,Red,IIQ-0952,5
446,599,BMW,3 Series,2012,White,BRZ-2407,5
447,162,Honda,CR-V,2017,Navy,ABU-4530,5
448,110,Volkswagen,Tiguan,2010,Red,IZT-0315,5
449,367,Honda,Pilot,2021,White,ZUT-8416,8
450,332,Dodge,Charger,2010,White,BSO-5455,5
451,376,Dodge,Charger,2020,White,VXO-0122,5
452,65,Volkswagen,Jetta,2005,Navy,NTW-6363,5
453,99,Subaru,Outback,2022,Green,ERT-1243,5
454,398,Hyundai,Sonata,2008,Black,YEA-1106,5
455,504,Subaru,Outback,2020,Gray,SGJ-6092,5
456,273,Honda,Civic,2017,Navy,BOY-4378,5
457,198,Hyundai,Sonata,2007,Blue,VCF-5123,5
458,720,Hyundai,Sonata,2013,Gray,YOO-7756,5
459,361,Subaru,Outback,2018,Brown,EEK-3194,5
460,220,BMW,5 Series,2023,Yellow,IJT-4765,5
461,17,Mercedes-Benz,GLE,2022,Gray,TJL-9002,5
462,283,Hyundai,Sonata,2010,Yellow,HHF-8086,5
463,585,Kia,Sorento,2012,Black,LEG-8223,7
464,930,Tesla,Model 3,2021,Beige,TSU-1865,5
465,445,Honda,Accord,2022,Red,AVJ-7938,5
466,43,Tesla,Model S,2013,Brown,FQP-0733,5
467,590,BMW,5 Series,2023,Gray,ISD-6997,5
468,88,Hyundai,Elantra,2008,White,HKD-0503,5
469,754,Tesla,Model 3,2021,Silver,STM-1355,5
470,196,Hyundai,Sonata,2013,White,GLR-5143,5
471,46,BMW,5 Series,2017,Gray,AHZ-6941,5
472,853,Ford,Transit,2013,Red,ESC-7261,8
473,769,Chevrolet,Malibu,2005,White,UHM-3725,5
